idPlayer,idTeam,yearDraft,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,repsBenchPress135,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,pctBodyFat
1629617.0,1610612746.0,2020.0,80.0,250.8,84.5,106.0,28.5,31.5,15.0,12.46,3.3,3.4,9.0,10.0,6.7
1629617.0,1610612746.0,2020.0,80.25,249.6,84.25,106.5,30.0,33.5,,11.26,3.25,2.57,9.25,11.0,8.4
1630194.0,1610612755.0,2020.0,80.5,219.2,86.0,109.5,26.5,37.5,,12.29,3.4499999999999997,2.67,9.0,8.75,6.83
1630223.0,1610612761.0,2020.0,74.75,193.4,79.0,97.5,37.5,42.5,,10.59,3.11,2.4899999999999998,8.25,9.5,4.4
1630241.0,1610612740.0,2020.0,,,,,,,,,,,,,
1629627.0,1610612740.0,2019.0,,,,,,,,,,,,,
1629630.0,1610612763.0,2019.0,,,,,,,,,,,,,
1629628.0,1610612752.0,2019.0,,,,,,,,,,,,,
1629631.0,1610612747.0,2019.0,,,,,,,,,,,,,
1629636.0,1610612739.0,2019.0,,,,,,,,,,,,,
1629633.0,1610612756.0,2019.0,77.25,194.2,81.5,100.5,,,,,,,8.25,8.5,5.0
1629632.0,1610612741.0,2019.0,75.5,191.4,77.0,97.5,,,,,,,7.75,9.0,4.3
1629637.0,1610612737.0,2019.0,82.25,218.6,87.5,110.5,27.0,34.5,5.0,11.739999999999998,3.3699999999999997,3.23,9.25,10.5,5.0
1629060.0,1610612764.0,2019.0,,,,,,,,,,,,,
1629629.0,1610612737.0,2019.0,78.5,207.8,84.5,105.5,,,,,,,9.0,9.0,4.7
1629661.0,1610612750.0,2019.0,79.0,205.2,82.0,103.0,30.5,36.5,,10.52,3.2600000000000002,3.2800000000000002,8.0,8.5,5.8
1629023.0,1610612766.0,2019.0,78.5,223.0,86.5,107.0,27.0,34.0,3.0,11.39,3.2,3.4299999999999997,9.0,10.25,6.85
1629023.0,1610612766.0,2019.0,78.5,230.4,86.5,106.5,,,,,,,9.0,10.25,8.6
1629639.0,1610612748.0,2019.0,76.5,192.4,75.25,100.5,,,,,,,8.0,8.75,7.1
1629641.0,1610612738.0,2019.0,76.5,,83.0,103.0,,,,,,,9.0,9.0,
1629635.0,1610612765.0,2019.0,,,,,,,,,,,,,
1629643.0,1610612753.0,2019.0,,,,,,,,,,,,,
1629638.0,1610612751.0,2019.0,76.25,203.8,81.5,102.0,,,,,,,8.5,8.75,5.9
1629048.0,1610612754.0,2019.0,,,,,,,,,,,,,
1629677.0,1610612759.0,2019.0,81.5,227.2,82.5,107.0,27.0,38.0,7.0,11.01,3.27,3.03,8.5,9.0,5.6
1629680.0,1610612738.0,2019.0,,,,,,,,,,,,,
1629634.0,1610612760.0,2019.0,79.25,207.2,80.25,102.0,34.0,40.5,10.0,10.61,3.15,3.05,8.25,9.5,4.9
1629684.0,1610612738.0,2019.0,77.75,240.2,81.75,104.5,26.0,31.5,20.0,10.83,3.3299999999999996,3.27,9.0,10.5,5.4
1629647.0,1610612762.0,2019.0,79.75,208.4,84.0,107.0,30.5,37.0,4.0,11.09,3.27,2.9499999999999997,9.0,9.75,3.6
1629660.0,1610612755.0,2019.0,76.25,194.4,76.0,98.0,26.0,31.5,2.0,11.209999999999999,3.4,3.12,8.25,9.5,6.5
1629642.0,1610612757.0,2019.0,76.5,224.2,85.25,104.5,31.0,38.5,5.0,12.15,3.24,3.1,8.75,10.0,5.9
1629685.0,1610612739.0,2019.0,78.25,195.8,82.0,104.5,29.0,37.5,8.0,10.7,3.3,2.94,8.25,9.5,4.6
1629662.0,1610612751.0,2019.0,80.75,256.2,87.0,109.5,28.0,35.5,6.0,11.209999999999999,3.25,3.3,9.25,10.75,5.1
1629673.0,1610612744.0,2019.0,75.5,190.8,78.75,99.5,28.0,35.5,,10.59,3.27,3.14,8.25,8.5,7.5
1629640.0,1610612759.0,2019.0,76.75,216.4,81.25,104.0,,,,,,,8.0,9.25,5.6
1629645.0,1610612749.0,2019.0,76.0,212.6,81.0,103.0,27.0,34.0,2.0,10.82,3.14,3.03,8.75,8.75,5.1
1629651.0,1610612751.0,2019.0,82.0,216.6,86.5,110.0,31.5,36.5,8.0,11.26,3.36,3.4699999999999998,9.25,9.5,4.5
1629644.0,1610612756.0,2019.0,79.25,209.6,85.75,106.5,30.5,37.0,9.0,10.88,3.38,3.13,9.25,9.25,4.6
1629035.0,1610612755.0,2019.0,70.75,195.6,78.25,94.5,28.5,34.5,12.0,11.59,3.2,3.15,8.5,9.25,6.3
